7ecb50d74d_other	@OBJECT_GENE$ protein regulate @SUBJECT_GENE$ proteins levels, inducing its degradation under no stress situations, through proteasome degradation.	other
039d9af42a_1	All individual Ig-like domains’ structures indicate that a @SUBJECT_GENE$ homodimer binds to two @OBJECT_GENE$ chains with a 1:1 stoichiometry.	physically_interacts_with
88729a0262_1	The expression of @SUBJECT_GENE$, SOD2, GPX1, and @OBJECT_GENE$ in cumulus cells was significantly decreased after maturation regardless of the donor age, i.e., gilts or sows.	other
9bac3884a2	Taken together, these findings suggest that @SUBJECT_GENE$a retains its ancestral role of positively regulating @OBJECT_GENE$a expression and cartilage development in Nile tilapia.	activates
36b3e2c353_1	@SUBJECT_GENE$-F has no isoforms and selectively binds to @OBJECT_GENE$, which leads to vascular permeability but very weak cell proliferation.	physically_interacts_with
38a0d8675b_other	Methylation of the @OBJECT_GENE$ promoter decreases expression of TOMM40 and increases @SUBJECT_GENE$ expression.	other
34e751f2b0	Additionally, in human cells, the transcriptional factor @SUBJECT_GENE$-α mediates the epigenetic remodelling of the cytokines @OBJECT_GENE$ and IL-17A genes during CD4 T cell differentiation, favouring memory effector cells.	modulates
f4656e1132_2	In addition, it was shown to regulate the release of the exogenously expressed neuropeptide @OBJECT_GENE$ (@SUBJECT_GENE$-like peptide 2) from motor neuron boutons.	other
e2b6ec35de	Inhibition of @OBJECT_GENE$ family cytokines by @SUBJECT_GENE$	deactivates
8a9144e2c1_other	The intensity of @OBJECT_GENE$ staining was also significantly decreased at baseline (before TBI) in @SUBJECT_GENE$-/- mice compared to WT mice (Mann–Whitney U-test, p < 0.001, Figure S1).	other
f409e091c3_other	Furthermore, in different cell types, regulation of the release of @SUBJECT_GENE$ by the @OBJECT_GENE$/SDF-1 axis was demonstrated.	other
7d9fb16cda	As shown in the studies of Hakem et al., @SUBJECT_GENE$ can control @OBJECT_GENE$ stability through polyubiquitination and proteolysis of MYC.	modulates
8740e78b1d_other	These results demonstrated that a cohort of cell cycle-related genes, including CDKN2B (p15INK4b), CDKN1A (p21CIP1/WAF1), CDKN1B (p27KIP1), CDKN2A (p16INK4) and @SUBJECT_GENE$ (p18INK4C) were regulated by @OBJECT_GENE$/EZH2 complexes.	other
462d1d84ff_other	RNA interference-mediated depletion of p38δ @OBJECT_GENE$ also resulted in moderate suppression of YAP activity, as evidenced by increased P-YAP levels and reduced @SUBJECT_GENE$ mRNA levels relative to NT siRNA-transfected Huh7 cells (Figure 11B and C).	other
3be2132675	@SUBJECT_GENE$ can inhibit @OBJECT_GENE$ signaling by binding to the IKK complex and thus it prevents the TNF-α-induced inflammatory response in mouse macrophages.	deactivates
fabf66e442	@SUBJECT_GENE$ also increased transcription of multiple neutrophil-recruiting chemokines (CXCL1, @OBJECT_GENE$ and CXCL8/IL-8) and secretion of IL-8 (figures 7c–7g).	activates
