80b22356a6e980e8c8e1baaa4dd0359b4a6df7120fed6495ba13a9ea0e4a0c2b	Each relation means interaction between _DISEASE_ associated with _PROTEIN_.	PMID:31017923	proteins	PR:000000001	[[82..90]]	neurodegenerative disease	MONDO:0005559	[[40..65]]	null	91	Y	Each relation means interaction between neurodegenerative disease associated with proteins.	A context-based ABC model for literature-based discovery.||||||||In the literature-based discovery, considerable research has been done based on the ABC model developed by Swanson. ABC model hypothesizes that there is a meaningful relation between entity A extracted from document set 1 and entity C extracted from document set 2 through B entities that appear commonly in both document sets. The results of ABC model are relations among entity A, B, and C, which is referred as paths. A path allows for hypothesizing the relationship between entity A and entity C, or helps discover entity B as a new evidence for the relationship between entity A and entity C. The co-occurrence based approach of ABC model is a well-known approach to automatic hypothesis generation by creating various paths. However, the co-occurrence based ABC model has a limitation, in that biological context is not considered. It focuses only on matching of B entity which commonly appears in relation between two entities. Therefore, the paths extracted by the co-occurrence based ABC model tend to include a lot of irrelevant paths, meaning that expert verification is essential.||||In order to overcome this limitation of the co-occurrence based ABC model, we propose a context-based approach to connecting one entity relation to another, modifying the ABC model using biological contexts. In this study, we defined four biological context elements: cell, drug, disease, and organism. Based on these biological context, we propose two extended ABC models: a context-based ABC model and a context-assignment-based ABC model. In order to measure the performance of the both proposed models, we examined the relevance of the B entities between the well-known relations "APOE-MAPT" as well as "FUS-TARDBP". Each relation means interaction between neurodegenerative disease associated with proteins. The interaction between APOE and MAPT is known to play a crucial role in Alzheimer's disease as APOE affects tau-mediated neurodegeneration. It has been shown that mutation in FUS and TARDBP are associated with amyotrophic lateral sclerosis(ALS), a motor neuron disease by leading to neuronal cell death. Using these two relations, we compared both of proposed models to co-occurrence based ABC model.||||The precision of B entities by co-occurrence based ABC model was 27.1% for "APOE-MAPT" and 22.1% for "FUS-TARDBP", respectively. In context-based ABC model, precision of extracted B entities was 71.4% for "APOE-MAPT", and 77.9% for "FUS-TARDBP". Context-assignment based ABC model achieved 89% and 97.5% precision for the two relations, respectively. Both proposed models achieved a higher precision than co-occurrence-based ABC model.
5d6890ed9b17c8af38ef2ec8c4e04963642882147b26bbff68a5aafc9b1c3819	Such outcomes may lead to avoiding or decreasing the susceptibility to _DISEASE_ associated with _PROTEIN_ infection in a genetically susceptible host.	PMID:31739453	Mtb	PR:000011023	[[107..110]]	autoimmune diseases	MONDO:0007179	[[71..90]]	null	155	N	Such outcomes may lead to avoiding or decreasing the susceptibility to autoimmune diseases associated with Mtb infection in a genetically susceptible host.	and the Enzymes Implicated in Its Cell Wall: A Link Between Mycobacterial Infection and Autoimmune Diseases.|||||||| = 5.9 µM; 97.4% inhibition). Further, molecular docking approaches were achieved to endorse and rationalize the biological findings along with envisaging structure-activity relationships. Since the clinical evidence of the last decade has confirmed the correlation between bacterial infections and autoimmune diseases, in this study we have discussed the linkage between infection with Mtb and autoimmune diseases based on previous clinical observations and animal studies. In conclusion, we propose that fucoxanthin could demonstrate great therapeutic value for the treatment of tuberculosis by acting on multiple targets through a bacteriostatic effect as well as by inhibiting UGM and TBNAT. Such outcomes may lead to avoiding or decreasing the susceptibility to autoimmune diseases associated with Mtb infection in a genetically susceptible host.
df4b2ec48a9742787ef9ce032fb8fa41cd6b41f91a050c7bba64332698eaf353	Most endocervical adenocarcinomas are human papillomavirus (HPV)-related _DISEASE_ associated with _PROTEIN_ immunostaining.	PMID:31014281	p16	PR:Q96518	[[97..100]]	cancers	MONDO:0004992	[[73..80]]	null	116	N	Most endocervical adenocarcinomas are human papillomavirus (HPV)-related cancers associated with p16 immunostaining.	HPV DNA integration site as proof of the origin of ovarian metastasis from endocervical adenocarcinoma: three case reports.||||||||Most endocervical adenocarcinomas are human papillomavirus (HPV)-related cancers associated with p16 immunostaining. Ovarian metastasis from cervical cancer is a rare phenomenon, the mechanism of dissemination remains unclear. The diagnosis of metastasis may be difficult to establish when the ovarian neoplasm presents features consistent with primary tumor. Immunohistochemical expression of p16 in ovarian tumors can guide the diagnosis of metastasis from HPV-related cervical cancer, but p16 positivity is nonspecific. Identical HPV genotype in the paired endocervical and ovarian tumors is a better marker for cervical origin, which may also be confirmed by identical HPV integration site.||||Two women presented with HPV18 cervical adenocarcinoma. No signs of disease were visible on MRI after treatment. After several years of follow-up, mucinous ovarian tumors were discovered in both patients. Molecular analyses showed that the ovarian lesions were HPV18-positive; indicating a primary cervical origin. A third woman was diagnosed with grade 1 ovarian endometrioid carcinoma with no peritoneal carcinomatosis. Final histological examination and HPV genotyping revealed HPV18-related in situ endometrioid adenocarcinoma in the endocervix and HPV18-related invasive endometrioid adenocarcinoma in the endometrium and both ovaries. Additional molecular analyses performed in two patients identified the same HPV integration sites in both the ovarian and cervical tumors, confirming that the ovarian mass was a metastasis from the cervical adenocarcinoma.||||We report three new cases of ovarian neoplasia in which the diagnosis of metastasis from cervical cancer was supported by the same HPV genotype and the same integration site in the paired cervical and ovarian tumors. To our knowledge, this is the first report of molecular evidence of the cervical origin of an ovarian metastasis. HPV screening should be performed in ovarian tumors for all patients with history of cervical neoplasia.
bddf0402857efcde03b07245fd55f83733f60039e2d5eef740b9f3dccb954fe8	In contrast to myeloid/_DISEASE_ associated with _PROTEIN_-A or PDGFR-B rearrangement, the tyrosine kinase inhibitor (TKI) imatinib is not an effective therapeutic option for EMS patients.	PMID:31597839	PDGFR	PR:000002035	[[58..63]]	lymphoid neoplasms	MONDO:0005157	[[23..41]]	null	193	Y	In contrast to myeloid/lymphoid neoplasms associated with PDGFR-A or PDGFR-B rearrangement, the tyrosine kinase inhibitor (TKI) imatinib is not an effective therapeutic option for EMS patients.	[The 8p11 myeloproliferative syndrome: a review of recent literature].||||||||The 8p11 myeloproliferative syndrome (EMS) is a relatively rare hematological malignancy defined by the presence of chromosomal abnormalities associated with fibroblast growth factor-1 gene, located in the 8p11-12.1 chromosomal locus. To date, only around a hundred cases have been reported in the literature. Patients with EMS present with various forms of myeloid/lymphoid malignancies, such as myeloproliferative neoplasms, acute myeloid leukemia, and T- or B-linage lymphoblastic lymphoma, which are frequently associated with eosinophilia. Prognosis of EMS is poor and a standard treatment strategy has not yet been established. In contrast to myeloid/lymphoid neoplasms associated with PDGFR-A or PDGFR-B rearrangement, the tyrosine kinase inhibitor (TKI) imatinib is not an effective therapeutic option for EMS patients. Other types of TKI, i.e., PKC412, sorafenib, ponatinib, dasatinib, and dovitinib, show growth-inhibitory effects against the cells harboring several types of FGFR-1 fusion genes in in vitro studies; however, the usefulness of either drug has not been confirmed by clinical trials. Therefore, at present, allo-hematopoietic stem cell transplantation is the only curative methods for EMS. Very recently, a phase-2 study with pemigatinib, an inhibitor for FGFR1, showed clinical benefits for EMS patients, including major cytogenetic response, suggesting a new therapeutic option for EMS.
05273518028571792ea81ec4c5b76d08eefb990c171c96799f189b186147850f	_DISEASE_ associated with _PROTEIN_ germline pathogenic variant share the good prognosis of CTNNB1 mutated medulloblastomas.	PMID:31504825	APC	PR:000004122	[[33..36]]	Medulloblastomas	MONDO:0007959	[[0..16]]	null	125	Y	Medulloblastomas associated with APC germline pathogenic variant share the good prognosis of CTNNB1 mutated medulloblastomas.	Medulloblastomas associated with APC germline pathogenic variant share the good prognosis of CTNNB1 mutated medulloblastomas.||||||||Medulloblastomas may occur in a predisposition context, including familial adenomatosis polyposis. Medulloblastomas related to APC germline pathogenic variant remain rare and poorly described. Their similarities with sporadic WNT medulloblastomas still require to be described.||||We performed a multicentric retrospective review of 12 patients treated between 1988 and 2018 for medulloblastoma with identified or highly suspected (personal of familial history) APC germline pathogenic variant. We report personal and familial history, APC gene pathogenic variant whenever available, clinical and histological characteristics of the medulloblastoma, treatments, and long-term outcome including second tumor and late sequelae.||||Medulloblastomas associated with APC pathogenic variant are mainly classic (11/11 patients, 1 NA), non-metastatic (10/12 patients) medulloblastomas, with nuclear immunoreactivity for ß-catenin (9/9 tested cases). 10/11 assessable patients are disease-free with a median follow-up of 10.7 years [1-28]. Secondary tumors included desmoid tumors in 7 patients (9 tumors), 1 thyroid carcinoma, 2 pilomatricomas, 1 osteoma, 1 vertebral hemangioma, and 1 malignant Triton in the radiation field which caused the only cancer-related death in our series.||||Medulloblastomas associated with APC pathogenic variant have an overall favorable outcome, even for metastatic tumors. Yet, long-term survival is clouded by second tumor occurrence; treatment may play some role in some of these second malignancies. Our findings raise the question of applying de-escalation therapeutic protocol to treat patients with APC germline pathogenic variant given the excellent outcome, and reduced intensity of craniospinal irradiation may be further evaluated.
a335fcd6c13e9403443931337bc5ffe170e4113d91ea48f47a245b6769aa25f8	_DISEASE_ associated with _PROTEIN_ pathogenic variant have an overall favorable outcome, even for metastatic tumors.	PMID:31504825	APC	PR:000004122	[[33..36]]	Medulloblastomas	MONDO:0007959	[[0..16]]	null	118	Y	Medulloblastomas associated with APC pathogenic variant have an overall favorable outcome, even for metastatic tumors.	Medulloblastomas associated with APC germline pathogenic variant share the good prognosis of CTNNB1 mutated medulloblastomas.||||||||Medulloblastomas may occur in a predisposition context, including familial adenomatosis polyposis. Medulloblastomas related to APC germline pathogenic variant remain rare and poorly described. Their similarities with sporadic WNT medulloblastomas still require to be described.||||We performed a multicentric retrospective review of 12 patients treated between 1988 and 2018 for medulloblastoma with identified or highly suspected (personal of familial history) APC germline pathogenic variant. We report personal and familial history, APC gene pathogenic variant whenever available, clinical and histological characteristics of the medulloblastoma, treatments, and long-term outcome including second tumor and late sequelae.||||Medulloblastomas associated with APC pathogenic variant are mainly classic (11/11 patients, 1 NA), non-metastatic (10/12 patients) medulloblastomas, with nuclear immunoreactivity for ß-catenin (9/9 tested cases). 10/11 assessable patients are disease-free with a median follow-up of 10.7 years [1-28]. Secondary tumors included desmoid tumors in 7 patients (9 tumors), 1 thyroid carcinoma, 2 pilomatricomas, 1 osteoma, 1 vertebral hemangioma, and 1 malignant Triton in the radiation field which caused the only cancer-related death in our series.||||Medulloblastomas associated with APC pathogenic variant have an overall favorable outcome, even for metastatic tumors. Yet, long-term survival is clouded by second tumor occurrence; treatment may play some role in some of these second malignancies. Our findings raise the question of applying de-escalation therapeutic protocol to treat patients with APC germline pathogenic variant given the excellent outcome, and reduced intensity of craniospinal irradiation may be further evaluated.
f769fdbcf97218663bf3e8476d20ef20a1b7b9d7371ae1206e4278aaf60035a8	Morule-like Features in Pulmonary _DISEASE_ Associated with _PROTEIN_ Mutations: Two Case Reports with Targeted Next-generation Sequencing Analysis.	PMID:31674165	Epidermal Growth Factor Receptor	PR:000006933	[[65..97]]	Adenocarcinoma	MONDO:0004970	[[34..48]]	null	176	Y	Morule-like Features in Pulmonary Adenocarcinoma Associated with Epidermal Growth Factor Receptor Mutations: Two Case Reports with Targeted Next-generation Sequencing Analysis.	Morule-like Features in Pulmonary Adenocarcinoma Associated with Epidermal Growth Factor Receptor Mutations: Two Case Reports with Targeted Next-generation Sequencing Analysis.||||||||Morules, or morule-like features, can be identified in benign and malignant lesions in various organs. Morular features are unusual in pulmonary adenocarcinoma cases with only 26 cases reported to date. Here, we describe two cases of pulmonary adenocarcinoma with morule-like features in Korean women. One patient had a non-mucinous-type adenocarcinoma in situ and the other had an acinar-predominant adenocarcinoma with a micropapillary component. Both patients showed multiple intra-alveolar, nodular, whorled proliferative foci composed of atypical spindle cells with eosinophilic cytoplasm. Targeted next-generation sequencing was performed on DNA extracted from formalin-fixed paraffin-embedded samples of the tumors. Results showed unusual EGFR mutations, which are associated with drug resistance to EGFR tyrosine kinase inhibitors, revealing the importance of identifying morule-like features in pulmonary adenocarcinoma and the need for additional study, since there are few reported cases.
39d4b26d1ef5cae16e4fa4f4d5d3f32b758f31361c31d730839bbde1df0e9041	Our results validate the rationale for conformation-based immuno-targeting of misfolded SOD1 as a promising therapeutic strategy to slow or even halt disease progression in familial _DISEASE_ associated with _PROTEIN_ mutations, as well as a prophylactic intervention for carriers of SOD1 mutations.	PMID:31324499	SOD1	PR:P33532	[[202..206]]	ALS	MONDO:0004976	[[182..185]]	null	288	Y	Our results validate the rationale for conformation-based immuno-targeting of misfolded SOD1 as a promising therapeutic strategy to slow or even halt disease progression in familial ALS associated with SOD1 mutations, as well as a prophylactic intervention for carriers of SOD1 mutations.	Therapeutic vaccines for amyotrophic lateral sclerosis directed against disease specific epitopes of superoxide dismutase 1.|||||||| mice, with tgG-DSE2lim displaying greater protection than tgG-DSE5b at earlier pre-symptomatic stage. tgG-DSE5b, but not tgG-DSE2lim, significantly delayed disease onset and appreciably slowed disease progression. This implies that conformationally distinct species of misfolded SOD1 may derive from the same mutation, thereby modifying disease phenotypes in a different fashion. Our results validate the rationale for conformation-based immuno-targeting of misfolded SOD1 as a promising therapeutic strategy to slow or even halt disease progression in familial ALS associated with SOD1 mutations, as well as a prophylactic intervention for carriers of SOD1 mutations. Our study not only provides important proof-of-principle data for the development of a safe and effective human therapeutic/prophylactic ALS vaccine against misfolded SOD1, but also predicts a great potential to extend our DSE-based vaccination approach to other types of ALS, such as those associated with TDP-43 proteinopathies.
5d5ee3b52d40201966af449801e378041fef39c91cba064ef0bb26f6cbb17141	Our study further supports the striking correlation of RAF1 mutations with HCM and highlights the clinical severity of _DISEASE_ associated with _PROTEIN_1 p.Ser259Tyr mutation.	PMID:31030682	a RAF	PR:000004192	[[151..156]]	Noonan syndrome	MONDO:0018997	[[119..134]]	null	179	Y	Our study further supports the striking correlation of RAF1 mutations with HCM and highlights the clinical severity of Noonan syndrome associated with a RAF1 p.Ser259Tyr mutation.	A severe clinical phenotype of Noonan syndrome with neonatal hypertrophic cardiomyopathy in the second case worldwide with RAF1 S259Y neomutation.||||||||Noonan syndrome and related disorders are a group of clinically and genetically heterogeneous conditions caused by mutations in genes of the RAS/MAPK pathway. Noonan syndrome causes multiple congenital anomalies, which are frequently accompanied by hypertrophic cardiomyopathy (HCM). We report here a Tunisian patient with a severe phenotype of Noonan syndrome including neonatal HCM, facial dysmorphism, severe failure to thrive, cutaneous abnormalities, pectus excavatum and severe stunted growth, who died in her eighth month of life. Using whole exome sequencing, we identified a de novo mutation in exon 7 of the RAF1 gene: c.776C &gt; A (p.Ser259Tyr). This mutation affects a highly conserved serine residue, a main mediator of Raf-1 inhibition via phosphorylation. To our knowledge the c.776C &gt; A mutation has been previously reported in only one case with prenatally diagnosed Noonan syndrome. Our study further supports the striking correlation of RAF1 mutations with HCM and highlights the clinical severity of Noonan syndrome associated with a RAF1 p.Ser259Tyr mutation.
b58234936c839a8a7008806c57a314becbc4cfa16d53b3376e63dd4b8cc60aca	Pharmacokinetic and pharmacodynamic assessment of alirocumab in patients with _DISEASE_ associated with _PROTEIN_ gain-of-function or apolipoprotein B loss-of-function mutations.	PMID:31767518	proprotein convertase subtilisin/kexin type 9	PR:000012440	[[124..169]]	familial hypercholesterolemia	MONDO:0005439	[[78..107]]	null	234	Y	Pharmacokinetic and pharmacodynamic assessment of alirocumab in patients with familial hypercholesterolemia associated with proprotein convertase subtilisin/kexin type 9 gain-of-function or apolipoprotein B loss-of-function mutations.	Pharmacokinetic and pharmacodynamic assessment of alirocumab in patients with familial hypercholesterolemia associated with proprotein convertase subtilisin/kexin type 9 gain-of-function or apolipoprotein B loss-of-function mutations.||||||||Familial hypercholesterolemia is characterized by high levels of low-density lipoprotein cholesterol (LDL-C), and causes of familial hypercholesterolemia include apolipoprotein B (APOB) loss-of-function mutations (LOFm) and proprotein convertase subtilisin/kexin type 9 (PCSK9) gain-of-function mutations (GOFm).||||The aim of this study was to compare the pharmacokinetics and pharmacodynamics of alirocumab between patients with APOB LOFm vs PCSK9 GOFm.||||Patients (6 APOB LOFm and 17 PCSK9 GOFm carriers) with LDL-C ≥70 mg/dL on maximally tolerated lipid-lowering therapies received alirocumab 150 mg at Weeks 0, 2, 4, and 6, placebo at Week 8, alirocumab at Week 10, placebo at Weeks 12 and 14, then completed a follow-up period at Week 22.||||At Week 8, mean ± standard error (SE) alirocumab concentration was lower in APOB LOFm carriers compared with PCSK9 GOFm carriers (12.12 ± 1.81 vs 16.74 ± 2.53 mg/L). APOB LOFm carriers had higher mean ± SE total PCSK9 (6.56 ± 0.73 mg/L) and lower mean ± SE free PCSK9 (0.025 ± 0.016 mg/L) at Week 8 compared with PCSK9 GOFm carriers (4.21 ± 0.35 and 0.11 ± 0.035 mg/L for total and free PCSK9, respectively). Despite this observed greater PCSK9 suppression, mean ± SE percent LDL-C reduction was lower in APOB LOFm (55.3 ± 1.0%) compared with PCSK9 GOFm carriers (73.1 ± 0.9%). Treatment-emergent adverse events occurred in 16 patients (94.1%) in the PCSK9 GOFm group and 5 patients (83.3%) in the APOB LOFm group.||||Overall, PCSK9 inhibition with alirocumab results in clinically meaningful reductions in LDL-C in both APOB LOFm and PCSK9 GOFm carriers, although reductions were greater in the PCSK9 GOFm carriers. The results indicate a possible underlying contributor to hypercholesterolemia other than PCSK9 in patients with APOB LOFm.||||NCT01604824; clinicaltrials.gov.
3dc3c0b0deaf9e0cb4c0a8745df7a8ca0bbb90539efce53294b33f0f65afd2e7	Plasmic score applicability for the diagnosis of _DISEASE_ associated with _PROTEIN_-acquired deficiency in a developing country.	PMID:31079658	ADAMTS13	PR:000003728	[[92..100]]	thrombotic microangiopathy	MONDO:0019737	[[49..75]]	null	145	Y	Plasmic score applicability for the diagnosis of thrombotic microangiopathy associated with ADAMTS13-acquired deficiency in a developing country.	Plasmic score applicability for the diagnosis of thrombotic microangiopathy associated with ADAMTS13-acquired deficiency in a developing country.||||||||Thrombotic thrombocytopenic purpura (TTP) is a potentially fatal disease that requires early diagnosis and treatment that can be made possible by applying the PLASMIC score. This study aims to evaluate this score applicability for patients with suspected TTP in a developing country.||||This was a retrospective study performed at a tertiary hospital in the northeastern region of Brazil. Patients were analyzed in two groups: ADAMTS13 activity <10% and activity >10%. Patients were stratified according to the PLASMIC score, and the level of agreement between the PLASMIC score and the ADAMTS13 activity was evaluated.||||Eight patients with thrombotic microangiopathy were included. Four patients had ADAMTS13 activity <10%, all with a PLASMIC score =6. The other four had ADAMTS13 activity >10%, all with a score <6. Based on a score =6 for presumptive diagnosis of TTP, we attained a 100% diagnostic accuracy in our sample. The PLASMIC score was also able to accurately predict response to plasma exchange and the risk of long-term unfavorable outcomes.||||The reproducibility of the PLASMIC score was quite satisfactory in our sample. It accurately discriminates between patients who had ADAMTS13 deficiency and those with normal enzyme activity, precluding the need for specific laboratory evaluation, which is not always available. This score can be useful for an early diagnosis and indicates which patients will benefit from the treatment in developing countries.
